time	V(n003)	V(n005)	I(I1)
4.933667223822781e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933670486372382e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933673748921984e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933677011471584e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933680274021186e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933682008868989e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933683743716794e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933685478564597e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933687213412401e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933688948260204e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933690683108009e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933692417955812e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933717793341599e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933717974594355e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933718110533922e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933718291786678e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933718427726244e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933718686658752e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933718945591260e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933719204523768e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933719463456276e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933719722388785e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933719981321293e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933720240253801e-002	1.515334e+000	4.996513e+000	2.499729e-004
4.933973767545723e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933975217567768e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933976279191051e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933977340814334e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933978402437617e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933979464060900e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933980525684183e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933981587307466e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933982648930749e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933988992777196e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933989219343141e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933989309969519e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933989377939302e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.933995178027482e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.934003334401485e-002	1.515335e+000	4.996513e+000	2.499731e-004
4.934076923020267e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934077648031290e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934077716001073e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934077987880207e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934080525418785e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934083425462875e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934084377039842e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934084648918976e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934116368151209e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934116413464398e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934116424792695e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934116447449290e-002	1.515335e+000	4.996513e+000	2.499732e-004
4.934116583388856e-002	1.515335e+000	4.996513e+000	2.499732e-004
